income,firstDate,lastDate,amount,freqSales,saleSizeCode,starCustomer,lastSale,avrSale,class
3,9409,9509,0.06,1,G,0,50,30.00,0
2,9201,9602,0.16,4,G,X,20,20.55,1
0,9510,9603,0.20,4,E,0,5,8.75,0
6,9409,9603,0.13,2,G,0,25,22.50,0
0,9310,9511,0.10,1,G,0,25,12.50,0
2,9601,9609,0.14,2,F,0,5,7.75,0
7,9510,9510,0.06,1,G,0,25,25.00,0
5,9209,9512,0.39,4,E,X,10,7.65,0
6,8702,9511,0.16,2,E,X,14,9.30,0
0,9103,9508,0.23,1,E,X,11,9.15,0
5,9201,9603,0.12,2,F,X,20,14.57,1
1,9509,9602,0.10,2,G,0,30,30.00,0
4,9301,9601,0.20,2,G,0,25,10.00,0
3,8910,9512,0.12,2,G,0,27,14.00,0
5,9309,9509,0.10,1,F,X,15,14.00,0
6,9507,9611,0.09,1,F,0,25,22.50,0
7,9101,9603,0.15,1,F,0,20,11.62,0
0,9112,9505,0.15,2,F,0,12,12.45,0
1,9502,9512,0.18,3,E,0,10,7.25,0
1,8608,9512,0.19,1,F,X,15,8.75,0
2,8801,9512,0.24,1,E,X,10,10.80,0
6,9403,9512,0.17,3,F,0,10,10.83,0
5,8711,9601,0.19,3,G,X,29,19.30,0
2,8609,9506,0.36,2,E,X,10,8.60,0
7,9101,9503,0.16,1,G,X,25,22.20,0
0,9501,9603,0.29,4,F,X,16,8.25,0
5,9506,9603,0.15,3,E,0,9,8.00,0
0,9408,9602,0.17,3,E,X,12,8.60,0
2,9501,9602,0.18,3,E,X,7,7.75,0
3,9602,9602,0.07,1,F,0,20,20.00,0
4,9310,9601,0.14,3,E,0,10,7.80,0
5,8809,9512,0.20,1,F,X,20,5.27,0
0,9310,9603,0.24,4,D,X,5,3.37,1
6,9003,9504,0.12,1,G,0,26,18.14,0
0,9601,9603,0.14,2,G,0,25,20.00,0
2,9205,9512,0.10,2,G,0,25,23.00,0
2,8612,9504,0.23,1,F,X,20,10.88,0
7,9502,9601,0.09,1,F,0,20,15.00,0
3,8702,9506,0.28,1,E,X,10,11.91,0
6,8608,9509,0.25,1,E,X,10,4.08,0
5,9004,9505,0.13,1,F,X,15,8.28,0
4,9309,9506,0.12,1,F,0,16,10.25,0
5,8802,9602,0.25,4,E,X,10,8.93,0
0,9602,9602,0.07,1,F,0,15,15.00,0
3,9309,9507,0.09,1,F,0,20,13.33,0
4,8704,9603,0.17,2,E,0,12,10.84,0
5,9109,9510,0.21,1,E,X,13,10.23,0
4,9301,9509,0.12,1,F,0,20,11.60,0
5,9103,9508,0.15,1,F,X,20,13.66,0
2,8610,9510,0.45,3,D,X,6,2.65,1
5,8812,9602,0.25,1,E,X,10,7.17,1
5,9303,9603,0.11,1,F,0,15,8.50,0
2,9310,9510,0.16,2,F,X,15,6.66,0
0,9402,9603,0.17,4,D,X,5,5.16,0
0,9003,9603,0.26,2,F,X,15,9.03,0
4,9111,9603,0.21,1,E,X,10,16.33,0
7,9406,9512,0.10,2,F,0,20,12.00,0
6,9201,9602,0.17,4,D,X,8,5.66,0
2,9205,9512,0.11,1,F,0,17,12.20,0
5,9003,9505,0.10,1,F,0,15,11.20,0
4,8612,9504,0.20,1,F,X,21,11.53,0
4,9202,9509,0.11,1,F,0,15,7.50,0
7,9001,9509,0.14,1,F,X,15,10.25,0
