ID,income,firstDate,lastDate,amount,freqSales,saleSizeCode,starCustomer,lastSale,avrSale,class
1,3,9409,9509,0.06,1,G,0,50,30,0
2,2,9201,9602,0.16,4,G,X,20,20.55,1
3,0,9510,9603,0.2,4,E,0,5,8.75,0
4,6,9409,9603,0.13,2,G,0,25,22.5,0
5,0,9310,9511,0.1,1,G,0,25,12.5,0
6,2,9601,9609,0.14,2,F,0,5,7.75,0
7,7,9510,9510,0.06,1,G,0,25,25,0
8,5,9209,9512,0.39,4,E,X,10,7.65,0
9,6,8702,9511,0.16,2,E,X,14,9.3,0
10,0,9103,9508,0.23,1,E,X,11,9.15,0
11,5,9201,9603,0.12,2,F,X,20,14.57,1
12,1,9509,9602,0.1,2,G,0,30,30,0
13,4,9301,9601,0.2,2,G,0,25,10,0
14,3,8910,9512,0.12,2,G,0,27,14,0
15,5,9309,9509,0.1,1,F,X,15,14,0
16,6,9507,9611,0.09,1,F,0,25,22.5,0
17,7,9101,9603,0.15,1,F,0,20,11.62,0
18,0,9112,9505,0.15,2,F,0,12,12.45,0
19,1,9502,9512,0.18,3,E,0,10,7.25,0
20,1,8608,9512,0.19,1,F,X,15,8.75,0
21,2,8801,9512,0.24,1,E,X,10,10.8,0
22,6,9403,9512,0.17,3,F,0,10,10.83,0
23,5,8711,9601,0.19,3,G,X,29,19.3,0
24,2,8609,9506,0.36,2,E,X,10,8.6,0
25,7,9101,9503,0.16,1,G,X,25,22.2,0
26,0,9501,9603,0.29,4,F,X,16,8.25,0
27,5,9506,9603,0.15,3,E,0,9,8,0
28,0,9408,9602,0.17,3,E,X,12,8.6,0
29,2,9501,9602,0.18,3,E,X,7,7.75,0
30,3,9602,9602,0.07,1,F,0,20,20,0
31,4,9310,9601,0.14,3,E,0,10,7.8,0
32,5,8809,9512,0.2,1,F,X,20,5.27,0
33,0,9310,9603,0.24,4,D,X,5,3.37,1
34,6,9003,9504,0.12,1,G,0,26,18.14,0
35,0,9601,9603,0.14,2,G,0,25,20,0
36,2,9205,9512,0.1,2,G,0,25,23,0
37,2,8612,9504,0.23,1,F,X,20,10.88,0
38,7,9502,9601,0.09,1,F,0,20,15,0
39,3,8702,9506,0.28,1,E,X,10,11.91,0
40,6,8608,9509,0.25,1,E,X,10,4.08,0
41,5,9004,9505,0.13,1,F,X,15,8.28,0
42,4,9309,9506,0.12,1,F,0,16,10.25,0
43,5,8802,9602,0.25,4,E,X,10,8.93,0
44,0,9602,9602,0.07,1,F,0,15,15,0
45,3,9309,9507,0.09,1,F,0,20,13.33,0
46,4,8704,9603,0.17,2,E,0,12,10.84,0
47,5,9109,9510,0.21,1,E,X,13,10.23,0
48,4,9301,9509,0.12,1,F,0,20,11.6,0
49,5,9103,9508,0.15,1,F,X,20,13.66,0
50,2,8610,9510,0.45,3,D,X,6,2.65,1
51,5,8812,9602,0.25,1,E,X,10,7.17,1
52,5,9303,9603,0.11,1,F,0,15,8.5,0
53,2,9310,9510,0.16,2,F,X,15,6.66,0
54,0,9402,9603,0.17,4,D,X,5,5.16,0
55,0,9003,9603,0.26,2,F,X,15,9.03,0
56,4,9111,9603,0.21,1,E,X,10,16.33,0
57,7,9406,9512,0.1,2,F,0,20,12,0
58,6,9201,9602,0.17,4,D,X,8,5.66,0
59,2,9205,9512,0.11,1,F,0,17,12.2,0
60,5,9003,9505,0.1,1,F,0,15,11.2,0
61,4,8612,9504,0.2,1,F,X,21,11.53,0
62,4,9202,9509,0.11,1,F,0,15,7.5,0
63,7,9001,9509,0.14,1,F,X,15,10.25,0
64,5,9401,9511,0.23,3,F,X,14,13.75,0
65,5,9101,9601,0.15,1,F,0,15,10.25,0
66,4,9102,9601,0.08,1,G,0,75,28,0
67,5,9410,9504,0.09,1,F,0,20,17.5,0
68,1,8803,9510,0.21,2,E,X,14,10.41,0
69,4,9509,9601,0.1,2,F,0,20,12.5,0
70,0,9101,9512,0.12,1,F,0,15,8.33,0
71,7,9012,9511,0.07,1,G,0,25,38.33,0
72,4,9102,9509,0.24,2,E,X,10,6.25,0
73,2,8704,9603,0.15,3,F,X,16,12.23,0
74,2,9411,9603,0.17,3,F,X,15,11,0
75,5,9302,9512,0.08,1,F,0,22,19,0
76,2,9101,9510,0.15,2,F,0,14,12,0
77,7,9506,9506,0.05,1,G,0,25,25,0
78,5,8803,9511,0.23,1,G,X,25,16.94,0
79,5,9601,9601,0.07,1,F,0,15,15,0
80,3,9009,9602,0.19,3,F,X,12,10.58,0
81,0,9210,9509,0.22,3,E,X,11,11,0
82,2,8608,9611,0.29,1,E,X,12,7.96,0
83,2,9410,9510,0.18,3,E,0,6,6.4,0
84,2,9401,9512,0.26,4,E,X,10,9.6,0
85,0,9409,9512,0.07,1,G,0,25,17.5,0
86,4,8608,9508,0.26,2,F,0,20,10.6,1
87,3,8701,9602,0.21,3,E,X,11,7,0
88,2,9501,9508,0.09,1,F,0,20,15,0
89,4,9311,9601,0.09,1,G,0,25,13.66,0
90,5,9102,9601,0.19,2,G,X,20,11.66,0
91,6,9502,9508,0.08,1,G,0,25,25,0
92,3,8809,9602,0.27,3,E,0,10,6.69,0
93,5,8612,9512,0.39,3,D,X,5,3.64,0
94,4,9009,9603,0.21,2,G,X,25,18.5,0
95,2,9507,9512,0.11,2,F,0,20,20,0
96,5,8706,9506,0.17,1,F,X,15,8.18,0
97,5,9601,9601,0.07,1,F,0,20,20,0
98,0,8809,9511,0.33,1,F,X,17,13.42,0
99,3,8809,9512,0.19,2,E,X,10,8.38,0
100,4,9601,9601,0.07,1,F,0,15,15,0
101,7,8803,9511,0.24,4,D,X,5,4.88,0
102,2,8611,9511,0.29,1,E,X,10,7.47,0
103,3,8812,9512,0.27,1,E,X,10,3.7,0
104,0,8708,9506,0.22,1,E,X,10,11.23,0
105,0,8911,9506,0.27,1,E,X,12,10.58,0
106,4,9109,9503,0.08,1,F,0,15,14.25,0
107,0,8608,9512,0.15,1,G,X,25,15.56,0
108,3,8702,9512,0.21,2,E,X,10,7.75,0
109,2,8608,9504,0.27,1,E,X,10,5.5,0
110,3,9401,9603,0.14,2,F,0,15,9,0
111,4,9401,9511,0.25,3,E,0,12,8.14,0
112,4,9310,9512,0.1,1,F,0,20,12,0
113,4,8611,9702,0.35,1,E,X,15,8.29,0
114,5,8608,9602,0.52,4,E,X,5,7.12,0
115,4,9412,9508,0.13,2,F,0,20,18.33,0
116,5,9109,9508,0.19,1,F,X,15,11.4,0
117,6,8608,9512,0.31,3,D,X,5,2.88,0
118,5,9010,9601,0.34,3,D,X,6,5.5,0
119,0,9001,9512,0.11,1,F,0,20,12.16,0
120,2,9102,9506,0.06,1,F,0,15,16.66,0
121,4,9103,9504,0.08,1,F,0,15,10,0
122,1,9109,9504,0.08,1,G,0,25,12.5,0
123,7,9109,9511,0.07,1,G,0,65,50,0
124,2,9011,9507,0.11,1,F,X,16,13.5,0
125,2,8912,9512,0.1,1,F,0,19,16.66,0
126,0,8702,9504,0.18,1,F,X,20,8.84,0
127,4,9309,9603,0.17,3,F,0,24,17.57,0
128,2,9102,9601,0.13,1,F,X,17,10.71,0
129,7,9602,9602,0.06,1,F,0,20,20,0
130,6,9501,9603,0.08,1,G,0,25,22.5,0
131,4,8807,9512,0.13,1,F,X,19,13.6,0
132,3,8612,9511,0.09,2,G,0,250,58.85,0
133,0,9211,9511,0.28,3,E,X,5,7.38,0
134,6,9510,9602,0.07,1,G,0,25,17.5,1
135,0,8804,9507,0.23,2,E,X,10,20.66,0
136,5,8712,9601,0.12,1,G,0,50,41,0
137,7,9401,9509,0.15,1,F,0,20,8.8,0
138,0,9410,9504,0.11,1,F,0,22,17.33,0
139,7,9402,9601,0.16,1,F,X,15,7.5,0
140,3,8909,9611,0.13,2,E,X,10,10.66,0
141,3,9101,9509,0.23,2,E,X,10,7.46,0
142,3,8610,9601,0.39,4,E,X,11,9.02,0
143,0,9506,9506,0.05,1,G,0,25,25,1
144,3,9410,9510,0.16,3,E,0,10,5.5,0
145,5,9210,9603,0.16,3,G,0,30,33.12,0
146,2,8612,9509,0.25,2,E,X,8,4.88,0
147,5,9601,9601,0.07,1,F,0,15,15,0
148,5,9309,9601,0.09,1,F,0,15,11.66,0
149,5,9110,9512,0.08,1,F,0,15,20,0
150,7,8910,9512,0.1,1,F,0,15,12.5,0
151,4,9102,9508,0.08,1,G,0,25,18.75,0
152,1,9506,9701,0.22,4,E,X,10,6.66,0
153,6,9206,9601,0.1,1,F,0,20,19.75,0
154,0,8909,9512,0.26,1,E,X,10,8.35,0
155,5,9601,9603,0.12,3,E,0,10,7.5,0
156,5,9601,9601,0.07,1,G,0,25,25,0
157,3,9602,9602,0.07,1,G,0,50,50,0
158,1,9502,9511,0.19,4,E,X,7,7.8,0
159,1,8608,9512,0.27,2,G,X,30,8.2,0
160,2,9411,9508,0.08,1,F,0,15,15,0
161,5,9011,9511,0.08,2,F,0,17,14.5,0
162,0,9501,9509,0.14,2,F,0,14,14.25,0
163,5,9302,9602,0.09,1,G,X,25,20.28,0
164,0,9101,9602,0.38,4,D,X,5,4.63,0
165,6,9001,9512,0.13,1,G,X,27,11.14,0
166,2,8805,9504,0.19,1,E,X,12,11.3,0
167,6,9502,9512,0.09,1,F,0,15,12.5,0
168,4,9509,9509,0.07,1,F,0,15,15,0
169,3,9301,9511,0.14,2,G,0,30,15.83,0
170,2,8902,9511,0.14,2,F,0,15,6.87,0
171,4,9410,9512,0.14,3,E,0,10,8.5,0
172,4,8912,9603,0.36,4,D,X,6,5.66,0
173,7,8701,9601,0.22,3,F,X,10,7.66,0
174,7,9512,9512,0.08,1,F,0,20,20,0
175,0,9410,9601,0.26,4,E,X,9,8.62,0
176,3,9310,9602,0.14,1,F,0,20,11.66,0
177,5,9101,9506,0.15,1,G,X,30,18.77,0
178,6,8809,9512,0.27,2,E,X,10,11.5,0
179,1,8608,9603,0.34,3,D,X,5,3.16,0
180,6,9506,9506,0.05,1,G,0,25,25,0
